"행정구역","2023년01월_계_총인구수","2023년01월_계_연령구간인구수","2023년01월_계_0~9세","2023년01월_계_10~19세","2023년01월_계_20~29세","2023년01월_계_30~39세","2023년01월_계_40~49세","2023년01월_계_50~59세","2023년01월_계_60~69세","2023년01월_계_70~79세","2023년01월_계_80~89세","2023년01월_계_90~99세","2023년01월_계_100세 이상"
"서울특별시 강북구 번1동(1130559500)","18,125","18,125","566","933","3,019","2,631","2,674","3,004","2,723","1,732","768","71","4"
"서울특별시 강북구 번2동(1130560300)","15,292","15,292","514","917","2,001","1,606","2,080","2,588","2,706","1,932","861","84","3"
"서울특별시 강북구 번3동(1130560800)","16,358","16,358","729","1,144","1,726","1,532","2,263","2,768","2,666","2,383","1,037","106","4"
"서울특별시 강북구 수유1동(1130561500)","20,251","20,251","791","1,241","2,965","2,675","2,736","3,383","3,380","2,006","961","108","5"
"서울특별시 강북구 수유2동(1130562500)","20,889","20,889","904","1,298","2,747","2,410","2,853","3,566","3,598","2,181","1,188","141","3"
"서울특별시 강북구 수유3동(1130563500)","22,940","22,940","647","1,021","4,181","3,360","3,020","3,907","3,575","2,107","1,019","99","4"
"서울특별시 강북구 우이동(1130564500)","20,185","20,185","892","1,302","2,426","2,479","2,759","3,552","3,372","2,105","1,157","139","2"
"서울특별시 강북구 인수동(1130566000)","29,684","29,684","1,284","2,001","3,669","3,492","4,026","5,161","5,161","3,158","1,540","187","5"
"서울특별시 도봉구 (1132000000)","311,260","311,260","15,434","23,431","39,152","38,171","44,226","54,735","52,247","28,171","13,860","1,790","43"
"서울특별시 도봉구 창제1동(1132051100)","24,330","24,330","1,262","2,000","3,035","3,194","3,723","4,262","3,658","1,998","1,057","137","4"
"서울특별시 도봉구 창제2동(1132051200)","28,630","28,630","1,484","2,102","3,901","3,901","4,253","5,013","4,326","2,403","1,122","122","3"
"서울특별시 도봉구 창제3동(1132051300)","13,504","13,504","600","966","1,621","1,524","1,999","2,425","2,323","1,355","634","54","3"
"서울특별시 도봉구 창제4동(1132051400)","25,958","25,958","1,446","2,462","3,296","3,190","4,049","4,709","3,923","1,766","944","172","1"
"서울특별시 도봉구 창제5동(1132051500)","24,227","24,227","1,313","1,784","3,326","3,458","3,277","4,217","3,912","1,862","931","143","4"
"서울특별시 도봉구 도봉제1동(1132052100)","20,456","20,456","682","1,067","2,316","2,134","2,622","3,580","3,991","2,670","1,258","133","3"
"서울특별시 도봉구 도봉제2동(1132052200)","26,176","26,176","1,419","1,472","2,876","3,319","3,492","4,230","4,899","2,932","1,360","171","6"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,955","20,955","975","1,496","2,799","2,432","2,902","3,692","3,467","2,022","1,051","118","1"
"서울특별시 도봉구 쌍문제2동(1132067000)","18,318","18,318","856","1,241","2,282","2,383","2,580","3,182","3,161","1,639","858","135","1"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,754","16,754","746","988","2,475","2,377","2,342","2,815","2,594","1,596","747","69","5"
"서울특별시 도봉구 쌍문제4동(1132068100)","18,305","18,305","1,020","1,841","2,302","2,158","2,700","3,279","3,024","1,224","659","97","1"
"서울특별시 도봉구 방학제1동(1132069000)","28,143","28,143","1,302","2,100","3,620","3,177","3,933","5,186","4,821","2,709","1,151","137","7"
"서울특별시 도봉구 방학제2동(1132070000)","19,097","19,097","742","1,329","2,356","2,005","2,519","3,633","3,481","1,925","991","115","1"
"서울특별시 도봉구 방학제3동(1132071000)","26,407","26,407","1,587","2,583","2,947","2,919","3,835","4,512","4,667","2,070","1,097","187","3"
"서울특별시 노원구 (1135000000)","502,835","502,835","28,084","48,842","67,419","61,713","78,308","86,244","72,053","38,489","18,904","2,701","78"
"서울특별시 노원구 월계1동(1135056000)","20,870","20,870","993","1,554","3,561","2,456","3,009","3,329","3,089","1,936","820","120","3"
"서울특별시 노원구 월계2동(1135057000)","25,924","25,924","1,441","1,927","2,929","2,926","3,854","4,374","4,522","2,605","1,163","177","6"
"서울특별시 노원구 월계3동(1135058000)","29,201","29,201","1,877","1,974","3,236","4,347","4,335","4,585","4,673","2,684","1,322","164","4"
"서울특별시 노원구 공릉1동(1135059500)","36,385","36,385","1,695","2,506","6,605","4,984","5,143","5,495","5,630","2,931","1,209","183","4"
"서울특별시 노원구 공릉2동(1135060000)","41,728","41,728","3,067","4,301","6,853","5,624","6,689","6,354","5,132","2,476","1,095","132","5"
"서울특별시 노원구 하계1동(1135061100)","26,234","26,234","973","2,887","4,388","2,657","3,614","4,790","3,806","1,908","1,064","143","4"
"서울특별시 노원구 하계2동(1135061200)","21,575","21,575","1,255","2,598","2,702","2,461","3,619","3,841","2,839","1,384","753","123","0"
"서울특별시 노원구 중계본동(1135061900)","23,372","23,372","1,216","4,342","2,959","1,675","4,500","4,579","2,417","1,028","580","75","1"
"서울특별시 노원구 중계1동(1135062100)","26,461","26,461","1,663","5,394","2,855","1,863","5,886","4,834","2,346","976","570","71","3"
"서울특별시 노원구 중계4동(1135062400)","19,492","19,492","937","2,056","2,348","1,806","3,091","3,608","2,740","1,877","896","129","4"
"서울특별시 노원구 중계2.3동(1135062500)","33,266","33,266","1,652","2,858","3,796","3,970","5,114","5,570","4,980","3,301","1,770","246","9"
"서울특별시 노원구 상계1동(1135063000)","37,638","37,638","1,972","3,093","4,761","4,570","5,299","6,768","6,383","3,120","1,448","213","11"
"서울특별시 노원구 상계2동(1135064000)","19,470","19,470","777","1,683","2,989","2,173","2,687","3,776","3,132","1,452","713","82","6"
"서울특별시 노원구 상계3.4동(1135066500)","25,177","25,177","1,180","1,857","2,858","2,622","3,512","4,526","4,438","2,680","1,372","127","5"
"서울특별시 노원구 상계5동(1135067000)","23,551","23,551","910","1,812","3,132","2,615","3,197","4,451","3,861","2,256","1,148","164","5"
"서울특별시 노원구 상계6.7동(1135069500)","31,898","31,898","2,041","2,804","4,103","4,686","5,071","5,573","4,219","2,100","1,088","209","4"
"서울특별시 노원구 상계8동(1135070000)","22,272","22,272","2,112","1,842","2,448","4,743","3,769","3,033","2,380","1,233","604","107","1"
"서울특별시 노원구 상계9동(1135071000)","19,960","19,960","1,110","1,822","2,531","2,645","3,102","3,538","2,910","1,436","730","136","0"
"서울특별시 노원구 상계10동(1135072000)","18,361","18,361","1,213","1,532","2,365","2,890","2,817","3,220","2,556","1,106","559","100","3"
"서울특별시 은평구 (1138000000)","466,237","466,237","25,543","36,340","62,949","65,813","71,669","76,684","67,603","38,653","18,854","2,080","49"
"서울특별시 은평구 녹번동(1138051000)","36,457","36,457","2,245","2,135","4,707","5,851","5,410","5,826","5,380","3,164","1,544","193","2"
"서울특별시 은평구 불광제1동(1138052000)","37,919","37,919","1,989","2,455","4,885","5,281","5,489","6,501","5,881","3,412","1,830","194","2"
"서울특별시 은평구 불광제2동(1138053000)","27,073","27,073","870","1,559","3,949","3,828","3,491","4,672","4,521","2,710","1,335","134","4"
"서울특별시 은평구 갈현제1동(1138055100)","16,306","16,306","590","1,084","2,449","2,244","2,251","2,811","2,648","1,467","688","72","2"
"서울특별시 은평구 갈현제2동(1138055200)","27,879","27,879","1,233","2,281","4,045","3,729","4,259","4,845","3,984","2,325","1,074","104","0"
"서울특별시 은평구 구산동(1138056000)","31,802","31,802","1,468","2,613","4,337","3,892","4,717","5,619","4,948","2,771","1,288","145","4"
"서울특별시 은평구 대조동(1138057000)","26,914","26,914","955","1,486","4,909","4,514","3,648","4,166","3,635","2,321","1,184","93","3"
"서울특별시 은평구 응암제1동(1138058000)","32,988","32,988","2,440","2,696","4,316","5,350","5,554","4,966","4,049","2,373","1,126","117","1"
