번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1979,2030 축의 전환:새로운 부와 힘을 탄생시킬 8가지 거대한 물결 ,마우로 F. 기옌 지음 ;우진하 옮김,리더스북,2021,9.7889E+12,,0,,321.97,1,2,2021-02-09
1980,2030 축의 전환:새로운 부와 힘을 탄생시킬 8가지 거대한 물결 ,마우로 F. 기옌 지음 ;우진하 옮김,리더스북,2021,9.7889E+12,,0,,321.97,1,3,2021-02-09
1981,2030 축의 전환:새로운 부와 힘을 탄생시킬 8가지 거대한 물결 ,마우로 F. 기옌 지음 ;우진하 옮김,리더스북,2021,9.7889E+12,,0,,321.97,1,2,2021-02-09
1982,강갑생의 바퀴와 날개,강갑생 지음,팜파스,2020,9.79117E+12,,,,,1,1,2021-02-09
1983,비극의 군인들,이기동 지음,일조각,2020,9.78893E+12,,,,,1,1,2021-02-09
1984,트렌드 코리아 2021  :서울대 소비트렌드 분석센터의 2021 전망 ,"지은이: 김난도,전미영,최지혜,이향은,이준영,이수진,서유현,권정윤,한다혜",미래의창,2020,9.78896E+12,,1,2021,321.89,1,2,2021-02-09
1985,트렌드 코리아 2021  :서울대 소비트렌드 분석센터의 2021 전망 ,"지은이: 김난도,전미영,최지혜,이향은,이준영,이수진,서유현,권정윤,한다혜",미래의창,2020,9.78896E+12,,1,2021,321.89,1,2,2021-02-09
1986,트렌드 코리아 2021  :서울대 소비트렌드 분석센터의 2021 전망 ,"지은이: 김난도,전미영,최지혜,이향은,이준영,이수진,서유현,권정윤,한다혜",미래의창,2020,9.78896E+12,,1,2021,321.89,1,2,2021-02-09
1987,"글로벌 테크, 7가지 욕망을 읽다",테크니들 외 지음,와이즈맵,2020,9.79119E+12,,,,,1,1,2021-02-09
1988,정의의 감정들,"김지수 지음, 김대홍 옮김",너머북스,2020,9.78899E+12,,,,,1,1,2021-02-09
1989,클라우제비츠와의 마주침,김만수 지음,갈무리,2020,9.78896E+12,,,,,1,1,2021-02-09
1990,한국전쟁과 냉전의 시대,"사무엘 F. 웰스 지음, 박행웅 옮김",한울(한울아카데미),2020,9.78895E+12,,,,,1,0,2021-02-09
1991,이집트의 재발견,윤여철 지음,박영스토리,2020,9.79117E+12,,,,,1,0,2021-02-09
1992,"돈 비 이블, 사악해진 빅테크 그 이후","라나 포루하 지음, 김현정 옮김",세종서적,2020,9.78898E+12,,,,,1,1,2021-02-09
1993,정의는 어떻게 실현되는가,"프릿 바라라 지음, 김선영 옮김",흐름출판,2020,9.78897E+12,,,,,1,1,2021-02-09
